time,x,y
1432.0,582.6,158.7
1436.0,583.6,159.6
1440.0,583.6,159.8
1444.0,590.6,160.3
1448.0,615.3,160.3
1452.0,648.3,162.0
1456.0,687.0,163.6
1460.0,710.3,164.9
1464.0,719.8,163.1
1468.0,721.3,162.1
1472.0,719.9,159.1
1476.0,713.8,158.0
1480.0,703.4,158.5
1484.0,699.0,159.6
1488.0,701.0,160.1
1492.0,703.4,160.4
1496.0,706.6,160.7
1500.0,707.9,161.0
1504.0,707.5,161.3
1508.0,707.8,162.0
1512.0,708.3,162.6
1516.0,707.8,163.0
1520.0,707.9,163.0
1524.0,707.7,161.5
1528.0,707.5,162.2
1532.0,707.6,162.8
1536.0,706.4,162.9
1540.0,706.9,162.4
1544.0,707.1,162.3
1548.0,707.4,162.5
1552.0,706.8,163.0
1556.0,707.0,163.1
1560.0,707.3,163.4
1564.0,707.5,163.5
1568.0,707.8,163.5
1572.0,707.8,164.4
1576.0,707.0,164.0
1580.0,707.4,164.3
1584.0,707.3,164.0
1588.0,708.0,164.3
1592.0,708.8,164.0
1596.0,708.8,164.0
1600.0,708.0,164.5
1604.0,708.3,164.1
1608.0,707.7,164.2
1612.0,707.5,164.3
1616.0,707.6,164.6
1620.0,708.5,164.2
1624.0,708.0,165.2
1628.0,707.6,164.7
1632.0,708.3,164.5
1636.0,708.1,164.3
1640.0,708.3,164.3
1644.0,707.9,165.0
1648.0,708.3,164.1
1652.0,708.1,164.3
1656.0,708.1,164.2
1660.0,708.1,164.6
1664.0,708.0,164.0
1668.0,708.5,164.0
1672.0,707.9,163.4
1676.0,707.6,163.6
1680.0,707.6,163.2
1684.0,707.5,162.9
1688.0,708.0,162.3
1692.0,707.8,162.7
1696.0,707.8,162.2
1700.0,707.2,162.7
1704.0,707.8,162.5
1708.0,707.8,161.8
1712.0,707.6,161.8
1716.0,707.7,162.0
1720.0,708.0,161.8
1724.0,707.9,161.7
1728.0,707.8,161.7
1732.0,707.9,161.6
1736.0,708.1,162.1
1740.0,708.3,162.2
1744.0,708.3,162.1
1748.0,710.4,162.5
1752.0,724.6,163.3
1756.0,748.1,165.1
1760.0,770.2,165.1
1764.0,785.6,163.9
1768.0,793.1,161.3
1772.0,796.9,161.7
1776.0,793.0,162.0
1780.0,786.8,161.3
1784.0,780.4,161.9
1788.0,780.1,161.4
1792.0,781.9,160.2
1796.0,783.0,161.6
1800.0,784.6,161.6
1804.0,785.9,163.3
1808.0,787.0,162.5
1812.0,786.9,162.3
1816.0,787.4,163.7
1820.0,787.1,163.6
1824.0,787.5,163.4
1828.0,787.7,163.6
1832.0,788.0,163.5
1836.0,787.7,163.6
1840.0,787.7,163.4
1844.0,787.4,163.7
1848.0,787.7,163.5
1852.0,788.2,163.4
1856.0,787.6,163.6
1860.0,788.4,164.2
1864.0,788.6,164.2
1868.0,789.1,163.7
1872.0,788.7,163.9
1876.0,789.4,163.8
1880.0,788.7,163.6
1884.0,787.6,163.8
1888.0,787.7,163.9
1892.0,789.0,163.8
1896.0,788.4,163.2
1900.0,788.6,164.0
1904.0,789.0,164.4
1908.0,795.7,165.0
1912.0,807.9,165.9
1916.0,830.8,166.5
1920.0,851.5,165.4
1924.0,859.0,165.1
1928.0,855.9,166.1
1932.0,850.4,165.6
1936.0,848.0,165.1
1940.0,845.0,164.3
1944.0,844.3,164.1
1948.0,844.0,164.6
1952.0,844.9,165.0
1956.0,845.0,165.3
1960.0,846.0,165.5
1964.0,844.5,165.6
1968.0,845.0,165.8
1972.0,845.3,165.0
1976.0,845.0,164.9
1980.0,845.0,165.9
1984.0,844.8,166.4
1988.0,844.9,165.6
1992.0,844.7,166.3
1996.0,844.2,166.7
2000.0,845.3,166.5
2004.0,846.0,166.7
2008.0,846.1,166.5
2012.0,846.2,166.3
2016.0,846.2,166.3
2020.0,846.2,166.9
2024.0,846.4,167.1
2028.0,846.6,166.9
2032.0,846.0,167.3
2036.0,846.2,167.2
2040.0,846.1,167.0
2044.0,845.8,167.0
2048.0,845.7,167.2
2052.0,845.4,167.3
2056.0,846.1,167.0
2060.0,845.0,166.9
2064.0,845.1,166.4
2068.0,845.6,166.4
2072.0,844.6,167.7
2076.0,845.1,166.8
2080.0,845.4,167.0
2084.0,844.6,167.2
2088.0,845.4,167.2
2092.0,845.5,167.1
2096.0,846.4,167.6
2100.0,846.0,167.6
2104.0,846.5,166.7
2108.0,847.1,166.4
2112.0,847.5,166.6
2116.0,847.8,166.5
2120.0,847.7,166.2
2124.0,847.5,165.7
2128.0,848.0,167.0
2132.0,848.4,166.0
2136.0,849.1,166.4
2140.0,849.1,167.1
2144.0,849.1,167.1
2148.0,849.2,167.5
2152.0,849.1,167.4
2156.0,850.1,167.3
2160.0,852.2,167.2
2164.0,868.9,167.5
2168.0,897.5,168.1
2172.0,932.3,167.2
2176.0,956.2,163.9
2180.0,975.1,159.4
2184.0,988.5,157.5
2188.0,990.2,157.9
2192.0,983.3,159.8
2196.0,974.2,160.8
2200.0,969.0,160.7
2204.0,969.8,160.4
2208.0,972.8,159.4
2212.0,976.3,159.2
2216.0,977.5,160.2
2220.0,977.8,161.0
2224.0,978.1,161.2
2228.0,979.0,161.2
2232.0,979.0,161.5
2236.0,978.4,161.7
2240.0,978.1,162.1
2244.0,976.8,162.0
2248.0,976.8,162.0
2252.0,977.3,162.6
2256.0,977.6,162.5
2260.0,977.7,162.9
2264.0,977.6,163.1
2268.0,977.0,163.0
2272.0,977.3,164.2
2276.0,977.9,163.4
2280.0,978.3,163.3
2284.0,978.0,164.8
2288.0,978.5,164.4
2292.0,977.4,164.5
2296.0,977.6,164.8
2300.0,978.7,164.8
2304.0,977.9,164.5
2308.0,978.7,164.1
2312.0,979.2,164.3
2316.0,978.3,164.1
2320.0,978.1,164.4
2324.0,978.5,164.4
2328.0,978.8,164.2
2332.0,979.0,164.5
2336.0,979.2,164.6
2340.0,979.4,164.7
2344.0,980.0,164.7
2348.0,979.5,164.4
2352.0,978.7,164.3
2356.0,978.7,165.1
2360.0,979.2,164.6
2364.0,979.2,164.4
2368.0,979.0,164.5
2372.0,979.7,163.9
2376.0,979.6,164.0
2380.0,979.4,163.6
2384.0,978.9,164.1
2388.0,978.7,163.9
2392.0,978.8,163.6
2396.0,978.8,163.8
2400.0,979.0,163.9
2404.0,978.8,164.7
2408.0,978.8,163.6
2412.0,979.3,163.6
2416.0,979.2,163.4
2420.0,979.1,163.1
2424.0,978.4,163.3
2428.0,977.4,162.9
2432.0,977.6,163.2
2436.0,977.8,163.3
2440.0,977.9,163.4
2444.0,977.7,163.2
2448.0,978.0,163.2
2452.0,978.2,162.8
2456.0,977.7,163.2
2460.0,978.3,163.0
2464.0,978.1,163.5
2468.0,977.9,163.3
2472.0,978.5,163.2
2476.0,978.4,163.2
2480.0,977.7,163.5
2484.0,978.1,163.6
2488.0,978.3,163.1
2492.0,977.8,162.8
2496.0,978.1,163.8
2500.0,978.3,163.8
2504.0,978.5,163.9
2508.0,977.9,164.2
2512.0,964.3,166.3
2516.0,925.3,169.2
2520.0,868.4,176.5
2524.0,804.6,185.0
2528.0,744.7,185.6
2532.0,688.1,179.4
2536.0,635.4,177.0
2540.0,579.0,187.4
2544.0,524.7,193.3
2548.0,471.1,193.2
2552.0,418.4,192.8
2556.0,368.1,201.3
2560.0,320.4,208.6
2564.0,275.6,214.8
2568.0,235.4,214.2
2572.0,201.7,213.1
2576.0,182.8,214.1
2580.0,185.3,212.1
2584.0,200.1,208.3
2588.0,206.0,205.6
2592.0,205.1,205.6
2596.0,196.9,204.9
2600.0,189.9,205.7
2604.0,183.5,206.5
2608.0,180.4,207.2
2612.0,180.8,207.0
2616.0,181.6,207.7
2620.0,181.5,207.7
2624.0,181.0,208.0
2628.0,181.7,207.9
2632.0,182.5,207.5
2636.0,183.2,209.2
2640.0,183.2,208.1
2644.0,183.1,208.3
2648.0,182.4,207.5
2652.0,182.2,208.0
2656.0,182.3,207.2
2660.0,181.9,208.2
2664.0,183.4,207.8
2668.0,182.0,208.0
2672.0,181.3,207.8
2676.0,181.1,208.1
2680.0,181.3,208.0
2684.0,181.8,207.9
2688.0,181.4,207.7
2692.0,179.5,207.8
2696.0,180.1,208.3
2700.0,180.0,207.3
2704.0,181.7,207.5
2708.0,181.3,207.9
2712.0,179.0,207.9
2716.0,180.7,207.6
2720.0,181.1,207.6
2724.0,180.3,207.3
2728.0,180.1,207.5
2732.0,179.5,207.7
2736.0,180.2,208.2
2740.0,180.1,208.5
2744.0,178.7,207.3
2748.0,179.0,208.0
2752.0,179.1,208.7
2756.0,179.0,209.3
2760.0,179.2,209.4
2764.0,179.6,209.1
2768.0,179.8,208.9
2772.0,180.4,208.9
2776.0,179.2,209.6
2780.0,179.2,209.2
2784.0,174.0,209.0
2788.0,158.7,209.6
2792.0,138.5,211.6
2796.0,135.2,212.2
2800.0,141.3,212.5
2804.0,154.4,210.5
2808.0,159.2,208.9
2812.0,156.0,208.3
2816.0,152.2,210.0
2820.0,152.7,211.0
2824.0,153.0,211.0
2828.0,151.6,210.8
2832.0,151.5,210.1
2836.0,150.7,209.9
2840.0,150.5,211.5
2844.0,150.5,212.3
2848.0,149.9,213.1
2852.0,150.2,212.8
2856.0,150.9,214.1
2860.0,151.7,214.6
2864.0,151.1,214.4
2868.0,151.4,214.3
2872.0,151.5,213.9
2876.0,151.0,213.7
2880.0,151.3,213.8
2884.0,151.2,214.4
2888.0,150.5,214.0
2892.0,150.6,212.6
2896.0,150.2,211.9
2900.0,150.1,211.5
2904.0,150.0,211.5
2908.0,150.3,211.0
2912.0,150.3,209.9
2916.0,150.0,209.6
2920.0,149.5,210.2
2924.0,149.5,211.2
2928.0,149.7,211.9
2932.0,148.7,211.1
2936.0,148.7,211.4
2940.0,149.0,210.5
2944.0,149.3,210.8
2948.0,149.5,211.4
2952.0,148.9,210.9
2956.0,149.6,210.5
2960.0,149.8,210.2
2964.0,149.9,209.1
2968.0,150.0,208.5
2972.0,150.0,208.1
2976.0,150.9,207.8
2980.0,151.8,208.7
2984.0,151.1,207.9
2988.0,150.4,208.2
2992.0,151.1,208.8
2996.0,153.2,208.9
