time,x,y,pupil_diameter
2623604,536.6,110.5,1415.0
2623605,535.3,108.0,1414.0
2623606,535.8,106.2,1417.0
2623607,536.1,106.6,1421.0
2623608,536.8,108.4,1425.0
2623609,537.5,110.2,1425.0
2623610,538.5,108.4,1424.0
2623611,538.5,106.6,1422.0
2623612,538.5,104.5,1420.0
2623613,538.4,104.2,1415.0
2623614,538.6,104.9,1409.0
2623615,538.8,105.5,1406.0
2623616,538.3,105.5,1410.0
2623617,537.2,104.6,1413.0
2623618,535.8,105.2,1414.0
2623619,533.9,106.5,1415.0
2623620,532.6,108.1,1415.0
2623621,531.6,108.5,1415.0
2623622,531.8,106.8,1414.0
2623623,531.6,104.9,1413.0
2623624,531.4,103.1,1412.0
2623625,533.2,103.7,1412.0
2623626,535.6,104.3,1411.0
2623627,538.0,104.8,1409.0
2623628,538.1,104.9,1406.0
2623629,538.4,105.0,1402.0
2623630,538.5,105.0,1401.0
2623631,538.6,106.0,1401.0
2623632,538.6,107.5,1404.0
2623633,538.6,109.0,1408.0
2623634,538.7,108.8,1409.0
2623635,538.8,108.1,1409.0
2623636,537.6,106.6,1407.0
2623637,535.7,105.8,1407.0
2623638,533.7,105.7,1408.0
2623639,532.5,105.8,1410.0
2623640,531.9,106.1,1411.0
2623641,532.9,105.8,1410.0
2623642,534.3,106.3,1409.0
2623643,535.8,106.5,1410.0
2623644,535.1,106.4,1410.0
2623645,534.5,106.3,1410.0
2623646,533.8,106.3,1410.0
2623647,533.7,106.4,1410.0
2623648,533.6,106.6,1410.0
2623649,534.2,105.5,1413.0
2623650,534.8,104.4,1416.0
2623651,535.4,103.9,1419.0
2623652,535.4,105.3,1419.0
2623653,535.4,107.2,1424.0
2623654,535.1,108.4,1430.0
2623655,535.7,108.3,1429.0
2623656,536.3,107.8,1424.0
2623657,537.3,107.4,1419.0
2623658,537.2,107.4,1419.0
2623659,537.1,107.3,1420.0
2623660,536.7,106.4,1420.0
2623661,536.4,105.5,1421.0
2623662,536.2,103.8,1421.0
2623663,536.7,103.0,1423.0
2623664,537.1,103.9,1423.0
2623665,537.1,105.7,1424.0
2623666,536.2,108.1,1423.0
2623667,535.5,108.8,1420.0
2623668,535.0,109.6,1418.0
